refdes, device, footprint, value, partnumber
AMP1, WIDEBAND_AMPLIFIER, SOT89, GALI-S66+, 
C1., CAPACITOR, 0805, 1uF, 490-10743-1-ND
C2., CAPACITOR, 0805, 100pF, 490-1600-1-ND\n
C3., CAPACITOR, 0805, 0.1uF, 490-10782-1-ND
C4., CAPACITOR, 0805, 0.1uF, 490-10782-1-ND
C5., CAPACITOR, 0805, 1uF, 490-1691-1-ND
C6., CAPACITOR, 0805, 1uF, 490-1691-1-ND
C7., CAPACITOR, 0805, 0.001uF, 490-13417-1-ND
C8., CAPACITOR, 0805, 4.7uF, 490-3338-1-ND
C9., CAPACITOR, 0805, 1uF, 490-1691-1-ND
C11., CAPACITOR, 0805, 0.01uF, 490-1642-1-ND
C12., CAPACITOR, 0805, 0.01uF, 490-1642-1-ND
C13., CAPACITOR, 0805, 0.01uF, 490-1642-1-ND
C14., CAPACITOR, 0805, 100pF, 490-1600-1-ND\n
C15., CAPACITOR, 0805, 0.1uF, 490-10782-1-ND
C16., CAPACITOR, 0805, 0.1uF, 490-10782-1-ND
C17., CAPACITOR, 0805, 0.1uF, 490-10782-1-ND
CONN1, BNC, BNC_VERT, , 
CONN2, BNC, BNC_VERT, , 
CONN3, BNC, BNC_VERT, , 
CONN4., CONNECTOR_8, SIP8N, , 
D1, DIODE, 0603, TS4148C, TS4148C RZGCT-ND
D2, DIODE, 0603, TS4148C, TS4148C RZGCT-ND
D3, DIODE, 0603, TS4148C, TS4148C RZGCT-ND
D4, DIODE, 0603, TS4148C, TS4148C RZGCT-ND
FB1., Ferrite bead, 0805, , 732-1620-1-ND
FB2., Ferrite bead, 0805, , 732-1620-1-ND
J1, NFET_TRANSISTOR, TO92, J300, 
L1., INDUCTOR, 0805, 10uH, 445-6396-1-ND
Q1, NPN_TRANSISTOR, SOT23, MMBT5179, MMBT5179CT-ND
Q2, NPN_TRANSISTOR, SOT23, BSV52, BSV52CT-ND
R1, RESISTOR, 0805, 1k, 311-1.00KCRCT-ND\n
R2, RESISTOR, 0805, 1M, 311-1.00MCRCT-ND
R3, RESISTOR, 0805, 1k, 311-1.00KCRCT-ND
R4, RESISTOR, 0805, 820, 311-820CRCT-ND
R5, RESISTOR, 0805, 8.2k, 311-8.20KCRCT-ND
R6, RESISTOR, 0805, 36k, 311-36.0KCRCT-ND
R7, RESISTOR, 0805, 100, 311-100CRCT-ND
R8, RESISTOR, 0805, 2.2k, 311-2.20KCRCT-ND
R9, RESISTOR, 0805, 390, 311-390CRCT-ND
R10, RESISTOR, 0805, 3.9k, 311-3.90KCRCT-ND
R11, RESISTOR, 0805, 10k, 311-10.0KCRCT-ND
R12, RESISTOR, 0805, 1k, 311-1.00KCRCT-ND
R13, VARIABLE_RESISTOR, , 20k, ST4ETA203CT-ND
R14, RESISTOR, 0805, 10k, 311-10.0KCRCT-ND
R15, RESISTOR, 0805, 22k, 311-22.0KCRCT-ND
R16, RESISTOR, 0805, 56k, 311-56.0KCRCT-ND
R17, RESISTOR, 0805, 270, 311-270CRCT-ND
R18, RESISTOR, 0805, 18, 311-18.0CRCT-ND
R19, RESISTOR, 0805, 270, 311-270CRCT-ND
R20, RESISTOR, 0805, 100k, 311-100KCRCT-ND
R21, RESISTOR, 0805, 47, 311-47.0CRCT-ND
R22, RESISTOR, 0805, 47, 311-47.0CRCT-ND
U1, INVERTING_SCHMITT_TRIGGER, SOT23, SN74LVC1G14, 296-11607-1-ND
U2., 4066, TSSOP14, SN74HC4066, 296-8330-1-ND
U3., FREQUENCY_SYNTHESIZER, TSSOP16, , 
